Experiment,v1_mean,v2_mean,zr_mean,a_mean,ndt_mean,sndt_mean,alpha_mean,v1_median,v2_median,zr_median,a_median,ndt_median,sndt_median,alpha_median
3008_class_pictures_part_2.dat,2.806076271009299,-3.4330184290518964,0.4728581888203759,1.4753750423219976,0.49801309824209955,-0.012589157948291014,1.979020809833198,2.8092610964904505,-3.4423015971781314,0.4731684927915861,1.4523131723819191,0.49930200024891513,-0.01127641661822694,1.9925354529972976
2011_class_pictures_part_2.dat,1.2444805028725319,-1.122765108079369,0.39450688768070075,1.1033069180230524,0.5334036211116316,-0.010745811191549838,1.8630954059451958,1.237118498627739,-1.1187833517491335,0.3940318571348188,1.1107479950642403,0.5331296317397465,-0.01039448058675782,1.8906815314408587
2009_class_pictures_part_2.dat,2.910798430606776,-4.391500795146379,0.4963623621437978,1.2663288588933301,0.5762452730351356,0.0005468685098533029,1.9757656467678348,2.9091322168878886,-4.3876582556860635,0.4961363383903513,1.2438490081342302,0.5776816136775569,0.0008570188536401457,1.9932411568782666
1003_class_words_part_2.dat,3.276036104448952,-2.534973668657671,0.44524564738284866,1.6075438753030162,0.43082278135813407,-0.008243153073992713,1.9798517367464363,3.2682518797752023,-2.5334336506642945,0.44582366200443646,1.5922675202996919,0.4313023759297522,-0.007345091439327586,1.9901210411101542
4001_class_words_part_2.dat,2.788104941014986,-2.4720982198072003,0.5273857487549235,0.7486117585528229,0.44350760743830925,0.011087526559020318,1.917970191729894,2.7779173877833547,-2.467185817594655,0.5271238851090809,0.7511262367133859,0.4438446286593508,0.011054324423581355,1.9427110301049764
1007_class_pictures_part_1.dat,3.009111693959982,-2.203095670369299,0.3764355938689084,1.9222190497200449,0.5567226575381333,0.0060475383359358155,1.965867723076643,3.0111619792596427,-2.2050616246814947,0.37484757220964293,1.8949142832939834,0.5582713556097909,0.0071613513946567064,1.9764066702571133
2003_class_words_part_1.dat,2.143414649437347,-0.593610566212544,0.44527770770498737,1.5052944677244315,0.5170231581568587,0.01467331802995547,1.9643443718359646,2.138890765834013,-0.5885728120478366,0.44520130982564043,1.5030867075073528,0.5168664219345539,0.014695684878703846,1.9773616669591865
005_class_pictures_part_2.dat,2.295909047371435,-3.5361240175782727,0.44713686128312496,1.7802435812875756,0.47962399130138295,-0.0028779633667283333,1.9490507840767517,2.3069793429477325,-3.5244961521220723,0.4458237995096723,1.7575569058948426,0.4805157413055714,-0.0015008417073019559,1.9639683468398186
3009_class_words_part_2.dat,2.929399873045381,-2.2675613877791405,0.49880160227328146,0.7924681962217539,0.38651033818971714,0.007995880767621017,1.7643857418790667,2.9354420057457977,-2.260490651779627,0.4989905771070212,0.7946153003321181,0.3868283559873984,0.007541022358973637,1.7796421779493428
3009_class_pictures_part_1.dat,2.4951236729913875,-1.60976146243067,0.41551010545264605,1.4268498567065098,0.512661610640467,-0.0052240780889334214,1.9430108594281579,2.486557712113796,-1.6006854658875609,0.41471490387633847,1.4199370725603766,0.5125089367877635,-0.004801164222682591,1.9558464827780098
