Experiment,v1_mean,v2_mean,a_mean,ndt_mean,alpha_mean,v1_median,v2_median,a_median,ndt_median,alpha_median
020_class_words_part_2.dat,3.15157128980234,-2.970277509768924,1.473456075112838,0.4107589726233514,1.7349635820823068,3.1521668502959495,-2.9695379858312485,1.4618952074759726,0.4121468373324805,1.7371063307171206
005_class_words_part_1.dat,3.867752915286574,-3.0431662964748436,1.5175242913030738,0.41112911630068255,1.8881739637687893,3.863424285414368,-3.037933574375332,1.5011768010844264,0.412908951361199,1.894515552273916
1015_class_words_part_1.dat,2.3022937939235706,-1.8784772340119713,1.3826870406710565,0.4677641966242809,1.8629374430205317,2.305671365242144,-1.8743489275752716,1.3778900457411627,0.4686520047331184,1.8645188914599933
3018_class_pictures_part_1.dat,2.267507465249861,-3.1345762071811145,2.4629347973815245,0.5903149325999597,1.8994378777073353,2.2732530687804866,-3.138315378297743,2.471600743014271,0.5913544211175306,1.9143274420619099
007_class_words_part_2.dat,3.1906743030946307,-2.6218022283387334,1.0355552006373794,0.3997920472043063,1.6435244437514107,3.1894682887125674,-2.6214765788110306,1.0334100094054377,0.40027401511640326,1.6441665943317214
4002_class_pictures_part_2.dat,0.6865525940623156,-0.983770575040292,0.8763258946859483,0.5248348623140694,1.5901445917150772,0.6861960295435858,-0.9718093048678664,0.880502289632491,0.5256162071252812,1.5925124531732138
4013_class_words_part_2.dat,2.818576605224239,-1.941376100793465,1.1316097220308798,0.35941398477939845,1.6910698075501231,2.8185332978750663,-1.9364512109134924,1.1330226027829184,0.35984351747436966,1.6932796366892853
3007_class_pictures_part_1.dat,1.5933271117092553,-1.0649379188496686,1.1172365733895424,0.6015541165708338,1.793714672016592,1.5830220606621097,-1.0669326040924583,1.1245428913460713,0.6019618047912474,1.80537378028473
3024_class_pictures_part_2.dat,1.7961563798810298,-1.87922086681982,1.2696663176273206,0.6027886288202728,1.8542186181969846,1.7966219726184631,-1.8919035435731213,1.268774376552412,0.603432985035144,1.8678464133188675
3025_class_words_part_1.dat,2.5181490835431393,-1.5716779114792152,1.0922694500482326,0.46534742882495017,1.6536251300842,2.520647355007642,-1.5694699370894956,1.0933994168142556,0.46566454342201835,1.6559881123636875
2012_class_words_part_2.dat,2.6950353497499266,-2.5278970861081436,1.1563679519171775,0.3471581462157312,1.1601076937510701,2.688792442899291,-2.5222400120827326,1.1548191944872117,0.34747044279400074,1.1556154505006575
019_class_pictures_part_1.dat,1.0640036423007428,-0.7992600210567486,1.2615246768049215,0.5481981134416305,1.875637215297653,1.062234293936791,-0.7903950714712252,1.2673472502802983,0.5498329107978523,1.8900758141787315
1019_class_pictures_part_2.dat,0.935221728736296,-1.8593390806294685,1.267025962128959,0.5661423502228635,1.884273027711867,0.9308276604190295,-1.8469686736552382,1.2702759262802679,0.5672083077822322,1.9010351079888141
2007_class_pictures_part_2.dat,2.2834914895221594,-4.430478436408868,1.6469988621894376,0.4585223680750521,1.8980656481407268,2.2743847503118797,-4.447750727523669,1.6242882919101835,0.4613516040378878,1.9101826961827872
1017_class_pictures_part_2.dat,1.3902877529202258,-2.7787856333534147,1.5283983691690988,0.4140260038609734,1.8380994885044346,1.384369060746972,-2.7792577851951927,1.5218068637210997,0.41555708773302014,1.8481985652895776
3015_class_pictures_part_1.dat,0.8511850404529512,-1.7450396449431342,1.0962995642274844,0.5548884814280712,1.815335726359636,0.8506197802550589,-1.751215441402982,1.0997463395331861,0.5558470664150883,1.8237784271143016
1020_class_words_part_2.dat,2.708723314627803,-2.9085608192885424,1.4220096315106237,0.36218471218781856,1.4447844493879785,2.704839604457026,-2.9086369374832177,1.418859237252339,0.3629640179131417,1.4486655970921132
