Experiment,v1_mean,v2_mean,v3_mean,v4_mean,a_mean,ndt1_mean,ndt2_mean,ndt3_mean,ndt4_mean,alpha_mean,v1_mode,v2_mode,v3_mode,v4_mode,a_mode,ndt1_mode,ndt2_mode,ndt3_mode,ndt4_mode,alpha_mode
5002_associative_priming_part_1.dat,2.108282532960009,1.9205734596161783,-3.040980098341026,-2.4114888680724076,1.7297148282096833,0.30156482343772084,0.34374569849197223,0.34399258059856164,0.2922597888469739,1.2570834919723652,"ModeResult(mode=1.4705606322645417, count=1)","ModeResult(mode=1.1793047297909114, count=1)","ModeResult(mode=-4.052492454179683, count=1)","ModeResult(mode=-3.3204876404007946, count=1)","ModeResult(mode=1.210708444257773, count=1)","ModeResult(mode=0.2105000398392979, count=1)","ModeResult(mode=0.26211749082724795, count=1)","ModeResult(mode=0.2681782902269756, count=1)","ModeResult(mode=0.21491239518367872, count=1)","ModeResult(mode=1.0089429015065865, count=1)"
1003_associative_priming_part_2.dat,3.099489605142523,2.7661344889648007,-2.689304011211783,-2.906395005165812,1.4770459449308995,0.4966083096589428,0.50667944381866,0.4526962966240069,0.4695390451686709,1.9335457664561118,"ModeResult(mode=2.2742655657885464, count=1)","ModeResult(mode=1.9054167454989785, count=1)","ModeResult(mode=-3.5493602628300067, count=1)","ModeResult(mode=-3.6834910121714897, count=1)","ModeResult(mode=1.1641021914106673, count=1)","ModeResult(mode=0.4232049547116549, count=1)","ModeResult(mode=0.450725019069602, count=1)","ModeResult(mode=0.3852195666626422, count=1)","ModeResult(mode=0.4191095993191558, count=1)","ModeResult(mode=1.6551673734130872, count=1)"
1011_associative_priming_part_2.dat,2.410288317857208,1.807870114342883,-2.4351535310780474,-2.0616380803163294,0.8805923082005601,0.5125315688648635,0.5034956595727034,0.4652044286846286,0.4400202149210889,1.575839960387428,"ModeResult(mode=1.6802019785528972, count=1)","ModeResult(mode=0.8832446240903602, count=1)","ModeResult(mode=-3.4023747609970796, count=1)","ModeResult(mode=-2.846142528698235, count=1)","ModeResult(mode=0.6743290323913969, count=1)","ModeResult(mode=0.5202268749095567, count=2)","ModeResult(mode=0.496369427412836, count=2)","ModeResult(mode=0.42607250678408337, count=1)","ModeResult(mode=0.40810648686359574, count=1)","ModeResult(mode=1.2771677400710633, count=1)"
3006_associative_priming_part_1.dat,1.439062659329125,1.8548330917006037,-1.7776548504353835,-2.052988291529365,1.2684936978428327,0.32945420315902857,0.5167337978372085,0.4226975136212454,0.42657222945532397,1.5990893402680864,"ModeResult(mode=0.9181349981714622, count=1)","ModeResult(mode=1.1941065564358633, count=1)","ModeResult(mode=-2.3512740694425434, count=1)","ModeResult(mode=-2.688730545348036, count=1)","ModeResult(mode=0.9571122124981081, count=1)","ModeResult(mode=0.24441864996845145, count=1)","ModeResult(mode=0.45896429179806597, count=1)","ModeResult(mode=0.37051470405058606, count=1)","ModeResult(mode=0.3625636728567727, count=1)","ModeResult(mode=1.287085503900404, count=1)"
3013_associative_priming_part_1.dat,0.9295222102092063,0.7108962320429465,-1.92233060949132,-1.790534046087656,1.3724188380836582,0.46700779803303155,0.4548406374809125,0.47849383839243903,0.46521242885389613,1.712792379648782,"ModeResult(mode=0.5097067865619103, count=1)","ModeResult(mode=0.3042045645023652, count=1)","ModeResult(mode=-2.593361453445253, count=1)","ModeResult(mode=-2.374694920114698, count=1)","ModeResult(mode=0.9860544139900728, count=1)","ModeResult(mode=0.36731632830758915, count=1)","ModeResult(mode=0.3959195443667121, count=1)","ModeResult(mode=0.479964807866466, count=2)","ModeResult(mode=0.40547927592248323, count=1)","ModeResult(mode=1.2045306623509082, count=1)"
4019_associative_priming_part_1.dat,2.1699754635899424,2.0814603668994067,-2.029296894589836,-1.95845813124242,1.4858765191104963,0.5555372342619352,0.5675351105845775,0.4806955421512158,0.4732876730484716,1.8748114319322562,"ModeResult(mode=1.449586954674066, count=1)","ModeResult(mode=1.3217975831845037, count=1)","ModeResult(mode=-2.740499708315306, count=1)","ModeResult(mode=-2.6075933426258855, count=1)","ModeResult(mode=1.2668376265772157, count=1)","ModeResult(mode=0.49586543314677584, count=1)","ModeResult(mode=0.5754374875029897, count=2)","ModeResult(mode=0.40634922291414094, count=1)","ModeResult(mode=0.40092938529310274, count=1)","ModeResult(mode=1.9140779589600165, count=2)"
2029_associative_priming_part_2.dat,3.105468289023869,2.3212371349325114,-2.4327369415840003,-2.3159071741949346,1.112844329078503,0.535204926513623,0.5213182561134849,0.4711015622364631,0.46958332347995907,1.7830780176986882,"ModeResult(mode=2.297178242202473, count=1)","ModeResult(mode=1.2656473420391732, count=1)","ModeResult(mode=-3.376599305573441, count=1)","ModeResult(mode=-3.228749714007659, count=1)","ModeResult(mode=0.8352198882775568, count=1)","ModeResult(mode=0.49918454040948274, count=1)","ModeResult(mode=0.48131206653087827, count=1)","ModeResult(mode=0.42246924225287924, count=1)","ModeResult(mode=0.4307709119672962, count=1)","ModeResult(mode=1.4689937276030873, count=1)"
2011_associative_priming_part_1.dat,2.4499243875536068,2.1527158076206616,-2.7904203004377246,-1.8470161937645144,1.341101338809656,0.5296324762544713,0.5368498360192536,0.4593838283730521,0.4029014380668519,1.5282730323003875,"ModeResult(mode=1.6706988217794871, count=1)","ModeResult(mode=1.3438946757057237, count=1)","ModeResult(mode=-3.8082924304636596, count=1)","ModeResult(mode=-2.6058507743717807, count=1)","ModeResult(mode=1.0343473795618663, count=1)","ModeResult(mode=0.4668882573160156, count=1)","ModeResult(mode=0.48955869214205916, count=1)","ModeResult(mode=0.41179770661298687, count=1)","ModeResult(mode=0.3324720945311447, count=1)","ModeResult(mode=1.176547061216558, count=1)"
3000_associative_priming_part_2.dat,2.193174661891809,1.621477366620641,-1.8593263499505523,-2.3357128627198938,1.062213617141935,0.5734723013570653,0.5647124233349362,0.5224386976710034,0.5169166265389846,1.7015306847256515,"ModeResult(mode=1.4341030316206946, count=1)","ModeResult(mode=0.8762569230513815, count=1)","ModeResult(mode=-2.5758249125126724, count=1)","ModeResult(mode=-3.124781722965976, count=1)","ModeResult(mode=0.8305299862347446, count=1)","ModeResult(mode=0.5786836790726955, count=2)","ModeResult(mode=0.529919456831453, count=1)","ModeResult(mode=0.4859280694668091, count=1)","ModeResult(mode=0.4824929827766592, count=1)","ModeResult(mode=1.766095613897596, count=2)"
2026_associative_priming_part_2.dat,1.4753088768235514,0.8964766472905796,-1.8045512380474198,-1.621137605606145,0.8304299502242024,0.5028634266915551,0.47037304900617355,0.45616460656402386,0.45282293305868143,1.2512569168152394,"ModeResult(mode=0.9739936439572441, count=1)","ModeResult(mode=0.46142895629697467, count=1)","ModeResult(mode=-2.4585833550588383, count=1)","ModeResult(mode=-2.338885245218682, count=1)","ModeResult(mode=0.5985154254434761, count=1)","ModeResult(mode=0.4637166168482344, count=1)","ModeResult(mode=0.4222042005850606, count=1)","ModeResult(mode=0.41353790447882177, count=1)","ModeResult(mode=0.4465736666881356, count=2)","ModeResult(mode=1.0055651866488247, count=1)"
