Experiment,v1_mean,v2_mean,v3_mean,v4_mean,zr_mean,a_mean,ndt1_mean,ndt2_mean,ndt3_mean,ndt4_mean,sndt_mean,alpha_mean,v1_median,v2_median,v3_median,v4_median,zr_median,a_median,ndt1_median,ndt2_median,ndt3_median,ndt4_median,sndt_median,alpha_median
3016_associative_priming_part_1.dat,2.6545680252180532,2.680116250381689,-2.599779580039877,-2.425819566667896,0.4429972498737182,2.0117228404021144,0.5541780482359586,0.5392007650448035,0.4983433242376352,0.5399487990467996,0.018124423159842907,1.9067803396267682,2.6482476553527334,2.6685585851278604,-2.579159315067977,-2.4028300994020664,0.43187987121751276,1.9670144145906274,0.5563822853333749,0.5413370231894817,0.5052969227626609,0.5472862869966075,0.015529141699708288,1.9294845393053701
1028_associative_priming_part_2.dat,2.614166595678196,2.4094283410300337,-2.4228265498769344,-2.886588864760946,0.4518207597860883,1.4040170594778165,0.4910477918390782,0.4804392485933829,0.46318287709368283,0.5225145103197901,0.01620521728224572,1.838275058911553,2.6223693843449034,2.4000259639238175,-2.415288959202117,-2.8294715163891353,0.4385234158539706,1.3743846585071946,0.4923890415460286,0.4822448630288756,0.4690947134691733,0.5257107875938221,0.014115685921815488,1.888671256581714
2003_associative_priming_part_2.dat,2.5867790411920635,2.0891819071334723,-2.6164839785705443,-1.962504886913151,0.4279462743669078,1.552246832813962,0.544781748738495,0.5192399916863558,0.4349821783753156,0.4457922118457942,0.020081837647026656,1.829717991631139,2.611434621478738,2.0929218106908745,-2.6135259990921877,-1.9187322890690952,0.4070205924339823,1.5257558472741852,0.545097338750058,0.5179298998389668,0.44103468548812763,0.4527696520344553,0.018297543221716298,1.8739638363717417
3018_associative_priming_part_1.dat,2.5572723296968887,2.7955686327514666,-2.8928366074959957,-1.9535074508856443,0.4492856307979338,1.0166426382264504,0.5901380868083809,0.5716529454147656,0.5166507093741106,0.5529488567872128,0.04642110533223332,1.5715547880595024,2.5197209673550454,2.7636611781538343,-2.8618698162903407,-1.9121212917031634,0.43876072251870346,1.0033643951257754,0.5897980898437338,0.5746081303379502,0.5187643394101895,0.5551634754841543,0.0479241386396759,1.5831883437600944
1018_associative_priming_part_2.dat,2.150144447351069,2.2221924093709258,-2.148007921586688,-2.2402508456352646,0.448510325416003,1.2729254271867991,0.5133053358889595,0.49296127584955146,0.4814299125658808,0.5228194738312152,0.023399233061623566,1.796010704470401,2.154404936756558,2.2169986481193753,-2.140863313187901,-2.215715588188033,0.4319791972471731,1.2603226327432795,0.5142954656346577,0.49545278621945577,0.4840853139143996,0.5252461321978855,0.021623695659737166,1.8525500718939303
1002_associative_priming_part_2.dat,2.428072548639438,2.5913246266663927,-2.124925703965375,-2.0867829727343374,0.44786949319898567,1.568969998471875,0.4684112638499927,0.4542872902254562,0.40632997468116916,0.461779226823069,0.025836056754830496,1.8082360199865244,2.420141961476186,2.5816240531360934,-2.1318850647155103,-2.0527722163073903,0.4320158930729131,1.5399264185998838,0.4694726344261358,0.45655391755228325,0.40985855599165755,0.46602348619579703,0.024353098839450693,1.8614248403766822
4005_associative_priming_part_2.dat,2.774861074587423,2.7007221781395656,-2.3957145040724925,-2.0132717714641464,0.4236550078893706,1.3866693780577926,0.5171332434817916,0.5272943133062385,0.47214104597357665,0.5187570712515224,0.01595416913720793,1.8360100367559202,2.7731805202389426,2.703290764461091,-2.3933337568608453,-1.9872841310261569,0.40410426382660736,1.3693589123341028,0.5189249902720394,0.5299649907028098,0.47736740436794,0.5232842417697452,0.014419504393023086,1.893065484831006
2013_associative_priming_part_1.dat,1.7031292345067108,1.9264347236442028,-2.299743634601172,-2.413911382683715,0.46166223005842855,1.232074816859948,0.5831187966010796,0.5473639665981305,0.48195663567630287,0.5223961563211477,0.0423076528875803,1.6388569687541672,1.6883396349921709,1.9139972776152239,-2.296787705424771,-2.3749938401785373,0.45318289416425833,1.218808219996121,0.5845230949224696,0.5517879056213654,0.48351817301961514,0.5246252393460331,0.04256794394523807,1.664876688550124
3007_associative_priming_part_2.dat,2.7771204592618033,2.5940484669216137,-2.6531241032049273,-2.5108921096862424,0.45296702577670817,1.4899979333044386,0.5042531875589517,0.4695636655587625,0.47536844752760954,0.5359565686044955,0.036142096127642846,1.7011874345391897,2.7646314069438453,2.57103287023609,-2.6315424074190323,-2.4833886945307304,0.43547957373467616,1.4262146830709312,0.5072377903767368,0.47538238220075535,0.47891508494549917,0.5394167720406722,0.03462249871127042,1.730801204106238
3019_associative_priming_part_1.dat,2.8243537622725743,2.733638586231272,-2.3433223813567987,-2.0025267429112263,0.4224653224721489,1.1404282349544228,0.5753765607183984,0.564722975606245,0.48127875127491154,0.519225374446406,0.02249399447556126,1.742305012349948,2.806005602111851,2.6923651651154517,-2.3512295560478087,-1.9686015756959452,0.40435701744813274,1.1272426160835554,0.575913355605983,0.567795907513722,0.48384720449973123,0.522317672121817,0.021208466231462303,1.7857164686160392
4024_associative_priming_part_2.dat,3.066682581844032,3.2275496821875302,-2.6520408078506943,-2.558257536043451,0.4271582900445765,1.3834843779486874,0.4888361931132341,0.5069108848032795,0.4905274888689387,0.503081952823386,0.014789896069456784,1.8314259919459284,3.072159439658094,3.198013176227944,-2.629470245226382,-2.522202311089865,0.4130262853355532,1.3499236412726923,0.490771846561994,0.5103778940507424,0.49521739469563525,0.5079970383110225,0.013320324070890469,1.880963118807178
3008_associative_priming_part_2.dat,2.8113311386206252,3.017704639524486,-2.6425556027353063,-2.441901131842319,0.4314805134050094,1.5505882682586858,0.5403994723567366,0.5400517017603993,0.4484896327366755,0.49717741545890387,0.01673216300352375,1.8673284507324357,2.8254706439017725,3.012161100302572,-2.634650857874184,-2.421177683791873,0.4110978549077174,1.510102182820256,0.5406429576048959,0.5409591166816274,0.4535761884093907,0.5034684525945532,0.014828643929911026,1.9075502554218353
2014_associative_priming_part_2.dat,3.2336195448108125,3.078847943738094,-2.1463704494978546,-2.3670643784065986,0.43666173457813257,1.8275196399344653,0.5369323899421771,0.5011508400019036,0.4571110297433696,0.5431792012961818,0.02056073856246881,1.8916828635268135,3.2309849243651443,3.075620989297735,-2.131594128070512,-2.3368127967233887,0.41871851259488063,1.7925310457741293,0.5386616241007578,0.5023984376503017,0.46667031301641815,0.5502504929839437,0.018567712038130457,1.9152094576929177
2017_associative_priming_part_1.dat,2.370237491176694,2.4805374207338255,-2.013695420464874,-1.9775869664217316,0.4310351639477236,2.2286277523877898,0.578606256800568,0.5825655203603611,0.4848729474268713,0.5248468422254321,0.02395145982013169,1.8831952112316575,2.3728094628916865,2.47287216781054,-2.0041954744390176,-1.9552399349215241,0.4125547302734859,2.2071218299969377,0.5795497579451878,0.5822338586739515,0.49131196858429815,0.5328720371364171,0.021500109928030406,1.905246618327154
2006_associative_priming_part_2.dat,2.185465737716574,2.0287108970580197,-3.1689934792979453,-1.8118705094716638,0.4710560430751758,0.7478448759508355,0.5152867297098519,0.519031642322492,0.5080695911599697,0.49048937666896425,0.04809728595080836,1.81581179670312,2.132519579233826,2.0018945219978663,-3.1489301184594813,-1.7629502672508497,0.4613285589321753,0.7493772257874254,0.5151396403500323,0.5180225394167741,0.509457895117494,0.4903180660330684,0.049423153385047665,1.8592719723914741
4010_associative_priming_part_1.dat,2.515072054096783,2.659038123792043,-2.5159451700857343,-2.451233644081778,0.4421795231645034,1.4613495155966307,0.5201720397629075,0.4890412148900017,0.46911535418166406,0.5145034507057865,0.017931834912149603,1.840942656045106,2.527489299886205,2.648427807343091,-2.5114833144405178,-2.4051015151793678,0.428344223163755,1.4297804184825014,0.5229319955230844,0.4931177411483636,0.4731254224557065,0.5183860571130743,0.016396770929509516,1.892424166716086
2026_associative_priming_part_1.dat,1.3571321347385945,1.3120857676543638,-1.386491149667173,-1.585792390437688,0.445270656428929,1.0842154595803821,0.5678656165427801,0.5876886758192662,0.5047702936264749,0.5484600447700496,0.04214521710694167,1.7523541087357488,1.3355376806777908,1.2848563940803346,-1.3793636464608252,-1.5602427436246928,0.4377169162340497,1.0998424373458273,0.5672869247276447,0.5881951707890669,0.5039271442761173,0.5493950729647314,0.042657970168569946,1.8002114744792492
3009_associative_priming_part_2.dat,2.1707932305797026,2.490328242401707,-2.0406771993884516,-1.7895651556145145,0.4543212051725355,1.0959084421074516,0.5748330786149284,0.5710201131935994,0.49858319094605286,0.5295600704031977,0.04657726604822096,1.6495343923949863,2.1693870663314687,2.4388315138558534,-2.0290784460438727,-1.7680871350447416,0.44347300512355076,1.0881046657637552,0.5767958450428812,0.5747556068137031,0.5014491193235862,0.531862752704826,0.04823999165776083,1.6910816766053687
1012_associative_priming_part_1.dat,2.2028106102821687,1.8625897297735887,-2.279438474647336,-1.6836291591610173,0.4612239116094827,1.1522630070394042,0.6150748177930894,0.5943111365178649,0.5896552669942857,0.5931346854062526,0.043571952125881934,1.5889886613208273,2.1902627110122523,1.84181917721124,-2.2342515655712925,-1.6546400002562893,0.45235137866128816,1.1394550469180302,0.6150460661881931,0.5955809190523709,0.5914869278178838,0.5947112045691314,0.04423468611860314,1.5869120189110562
3003_associative_priming_part_2.dat,2.226372863531986,2.469983163935673,-2.051594633884595,-2.0751753678880407,0.4374308128166958,1.759837033084327,0.5234985899882724,0.5076999321195531,0.49412757967049903,0.487102886164316,0.01746289289725682,1.877657541727794,2.2428136149845974,2.4662669580727856,-2.0459634041905046,-2.05370694350502,0.4242928747699653,1.7328045770721128,0.5210703224724922,0.5120675033414808,0.5018056175087547,0.49495405010419125,0.014953962476107807,1.915262563442599
3025_associative_priming_part_1.dat,2.1263829547129136,2.4157857396680797,-2.0014269456867484,-2.13905398800582,0.4597963786343166,2.165530472956297,0.53038084035004,0.5211496495771505,0.4882196085519805,0.5435169644329196,0.024790659646530662,1.8969986629420559,2.109634239158175,2.4170842839347397,-1.9882146002486256,-2.109256578572609,0.45078496387064326,2.1400984197129462,0.5349832672952769,0.5236033666176751,0.4975597369318375,0.5522972015839132,0.021252798236854706,1.9173995983352823
3004_associative_priming_part_1.dat,2.195345033536867,2.189281262767794,-1.8556460900148495,-1.7795565382037708,0.426836844507062,1.5379134380665573,0.5817742552706968,0.5719004944532682,0.5097976510709893,0.5359077030750313,0.018194499750374023,1.833128477442637,2.2125833196705718,2.172046744529232,-1.8587113965487272,-1.7537893113114007,0.4160945732957988,1.5232139578142676,0.583012457310871,0.5730131637277291,0.5136292469016028,0.5397186407950367,0.01655628000901109,1.8853301625883212
1030_associative_priming_part_1.dat,2.511721751784393,2.6190808235536727,-3.4662498234053802,-2.3690342682482424,0.44756873039314393,1.2919162326616425,0.4749959933638937,0.4529311839607651,0.43294787063558565,0.44295795718652387,0.023035813629721645,1.7356438630363287,2.5059848613688045,2.59500732105938,-3.4680106705852816,-2.335530094408905,0.43316813929471715,1.2572957786734331,0.47604352201858957,0.4569240391557414,0.43668040646896233,0.4460271565937078,0.021533278801924877,1.788059584618475
2011_associative_priming_part_2.dat,2.6313151117829694,2.258646279223911,-2.730004677706372,-2.350202149773721,0.45678436600508643,0.9031385437038458,0.5577331451632467,0.5463354905283068,0.5014674230423851,0.5385336326660323,0.04476116404507461,1.629529041168733,2.566855687645841,2.237999618299818,-2.6988166422053737,-2.298755129037558,0.4431193219118045,0.8968277520076684,0.558716715089733,0.5475737540821566,0.5021264255619888,0.5409568203015762,0.04557717162442007,1.6576520916909012
1026_associative_priming_part_1.dat,2.686660276978551,2.6443063173104564,-2.638489906737772,-1.9763941494836716,0.46384853016917443,0.9339200160979886,0.5794897907537947,0.5508453518756737,0.49077655184978214,0.5049584157134961,0.06328084200466066,1.5423045054703544,2.6313647582390276,2.5774930358846815,-2.58204525559719,-1.9400981978051368,0.45175636804277053,0.9170462302410728,0.5827804979157021,0.5550899655232623,0.4944695808002497,0.5077083352851013,0.06644952313298771,1.5471265093763797
1001_associative_priming_part_1.dat,2.877519833693149,2.333740175056836,-2.3162922398981567,-2.3255408307688703,0.4443931276966333,1.886412591040722,0.5455025514914033,0.501846081016681,0.4809260576180669,0.5028331580579816,0.025133396207183623,1.859127539889491,2.865486816134598,2.331953384870408,-2.3039545036114957,-2.3028459306554616,0.4272958396271213,1.8476709365016224,0.5463762168961288,0.5027696340255794,0.4871829407856431,0.5081229857832783,0.02297643281659771,1.8890238759909699
3024_associative_priming_part_1.dat,1.9429263702677366,2.1063157828519596,-1.6673515815527513,-1.907685748906706,0.44164930592693996,1.6854521155273883,0.5930979536012275,0.58103464879865,0.4986605352488326,0.5208990799910072,0.03045622582905513,1.7522609126882849,1.9428422274931636,2.090414515614704,-1.6508337306581664,-1.890673239495515,0.4255233740705185,1.65568822065615,0.5943881463193534,0.5855217347258506,0.5015211833846639,0.5259718068389195,0.028288065131462398,1.7902580138415165
2003_associative_priming_part_1.dat,2.2638564840787234,2.2216342692458575,-2.390755935953999,-2.487738530002556,0.4581017148301315,1.6732206641146272,0.5447735834267513,0.5200853374090676,0.4098521750507936,0.47327393437619014,0.030464283879686208,1.78233239588661,2.2544242903979184,2.202710512840911,-2.366182170337657,-2.444194761003622,0.4442992718412682,1.6305225018300558,0.5464061448255179,0.5228538191817225,0.4141637744746942,0.47733860855402477,0.02842658511984336,1.8302269860913372
4007_associative_priming_part_2.dat,1.5596469981240033,1.4150367109294548,-1.2740845404105352,-1.2606672147294122,0.43502794337504624,1.056328179949473,0.5532927156313506,0.5313628528510285,0.5160248745251951,0.5287047668086814,0.029030616586134535,1.8317345159229477,1.5494254901394289,1.3947463370660587,-1.265643427514749,-1.2283534893083918,0.42182005244700405,1.0740470141930716,0.5529952311417351,0.5318678702867692,0.5166067857152523,0.5297441533208532,0.027710166490902126,1.891853206365325
