Experiment,v1_mean,v2_mean,zr_mean,a_mean,ndt_mean,sndt_mean,alpha_mean,v1_median,v2_median,zr_median,a_median,ndt_median,sndt_median,alpha_median
4005_class_pictures_part_1.dat,2.1382059020922073,-2.374201946918409,0.4309473124443724,1.7834166370415998,0.5164003659451712,0.006205658137902762,1.9387500941959634,2.1355921885489506,-2.359198868478803,0.43114156217637584,1.7622634992066786,0.5171681213488081,0.006864171852583534,1.9486303913254819
2019_class_pictures_part_1.dat,3.5415759156614923,-3.248009325427726,0.3625026736226519,1.1540251838048818,0.549375421152229,0.03389858508612734,1.7030064939920349,3.5276169836025,-3.228653906609903,0.3602839858878445,1.1150062376534042,0.5514124502801696,0.034770799408086285,1.7295611130567008
2005_class_words_part_2.dat,1.8550842945335675,-1.6044922302488072,0.4630219318697579,0.9948150248848968,0.33066605652671704,0.0778263770727631,1.0128657316396688,1.851327253796332,-1.5727957744386154,0.4622413488813133,0.985334784804458,0.3307528234772098,0.08025736818364568,1.0067385765446075
1016_class_pictures_part_1.dat,1.6434482847777918,-1.534881688682487,0.4634005083845847,1.5698361479121175,0.6019999026986439,0.040209623422112616,1.937568351878609,1.6325943218848888,-1.5350912993692485,0.46442280144204473,1.5566797319618435,0.6014404007038748,0.03961507200591127,1.9574401238884018
001_class_pictures_part_1.dat,2.375051998233449,-1.373245900070442,0.48251937197752,1.1928380153519205,0.5248259213480109,0.02670417556606133,1.8751199322266408,2.3648730333020422,-1.3604678414459936,0.48187805988905696,1.1912492466500406,0.5239320701902962,0.025409084591802453,1.8971228038631203
1017_class_pictures_part_1.dat,1.6663037049548441,-1.8636099578120033,0.48385222603141254,1.4415000697392424,0.5232347854093433,0.02372903963394292,1.8684029965569644,1.66485081394757,-1.858816489700366,0.4830079906612884,1.4343425987879401,0.5239618650719282,0.022805023584279452,1.8857136390394142
007_class_pictures_part_2.dat,2.5819588810051095,-2.5285567367569977,0.4988904241298041,1.1493745757540874,0.5491202912936838,-0.0002980580317067543,1.9850331686179226,2.577745718438866,-2.5265828214060644,0.4999078175863958,1.141610377030387,0.5495132283069897,0.000862413260407785,1.9932388339602878
3023_class_pictures_part_2.dat,2.852403141520677,-1.6220773047958328,0.39998573738354765,1.3002082501741206,0.5060184204750333,0.011605219631394067,1.9579641829097607,2.84975305422652,-1.6173579638663216,0.398599941573642,1.2946989692431758,0.5061779212504247,0.011772983982746663,1.9740271418804127
3009_class_words_part_1.dat,2.6175206437164196,-1.997624559282659,0.40844421806440145,1.023037006580685,0.3921092861206786,0.006651108669281919,1.812498537678643,2.610455252925926,-2.0009608886194155,0.4081509376466632,1.0253305572025935,0.3925071315543151,0.006321800382566009,1.8252421006167094
4011_class_words_part_1.dat,2.009516532350073,-1.6432739136520618,0.498150978703977,0.8751065859264259,0.4258801670709513,0.02950223773333306,1.7910341397573502,1.9965948733066896,-1.6432291886318788,0.4991967177575962,0.882465166872957,0.4261039240625623,0.02911879462178387,1.819942198278927
