participant,v1,v2,a,ndt,alpha,accuracy_percentage,mean_log_rt,RT_mean_correct_error,mean_correct,mean_Crror,log_alpha_mean
413.0,1.416498136519344,-1.2926803962514382,1.5106994467496797,0.47307075938162707,1.5058727107193797,0.9019507186858317,6.790455401081397,0.9361185831622177,0.9220193511667615,1.0658167539267016,0.40883170807675995
414.0,1.3010250067414115,-1.0685933986033331,1.7960200519544272,0.48865486469955577,1.792647307032521,0.9025534132360604,6.926765715388441,1.094031266284523,1.0762217090069284,1.2589839572192512,0.5833653015085969
415.0,1.5554557037863772,-1.6182326108337743,1.357441378147043,0.33502432222971334,1.890182991812995,0.9171298635674583,6.481122160134565,0.6929959575543204,0.6916506887052342,0.7078841463414636,0.6364588973732093
416.0,1.0992465031076102,-1.064822879931761,1.3890967286055487,0.43979692330128217,1.6466293648730865,0.8634020618556701,6.755267729903636,0.9073896907216495,0.9008931343283583,0.9484528301886792,0.4980967863659808
417.0,2.03011010251702,-1.2981281684282884,1.4007149778216688,0.4276511738403192,1.7766963309261337,0.9174503657262278,6.642552610777726,0.8056724137931034,0.7994191343963555,0.8751708860759493,0.574436893312509
418.0,1.5094778962946596,-1.4180387514626975,1.1151860491083785,0.4245548584230426,1.3909369331028532,0.8801459093277749,6.581018246972903,0.7449525794684732,0.7418294849023093,0.767886956521739,0.3293281608441845
419.0,1.3396141470322211,-1.237439781048021,1.5220945050480947,0.43745510353034295,1.834695723378502,0.8975026014568158,6.739293134957048,0.9034791883454735,0.8885826086956521,1.0339187817258884,0.6065328532664919
420.0,1.5578425254724964,-1.4599972246578827,1.6654869158055947,0.3725428921635621,1.9816802342594455,0.9379134860050891,6.669962517363428,0.8437338422391857,0.8420672816060771,0.8689098360655738,0.6838495427065473
421.0,0.6449724570144656,-0.5459067163773467,1.994453652934355,0.42706692758534254,2.0183183770235513,0.8080495356037152,7.041370142345442,1.3048653250773992,1.2597931034482757,1.4946048387096775,0.7022217801762687
422.0,1.4015689258073807,-1.2243918347214413,0.7525138189856211,0.35643292356539463,1.1586933703196782,0.8393135725429017,6.376013031418899,0.5995273010920438,0.5983097893432466,0.6058867313915858,0.14655368750970052
423.0,1.1871932668399008,-1.2139305520638384,0.7753143713097009,0.3847666627525403,1.318208371996489,0.8317135549872122,6.434324256821719,0.6364358056265984,0.637009840098401,0.6335987841945289,0.27549863875917885
424.0,0.5266175713654188,-0.8639061485888627,1.6610337307348098,0.3961603009048723,1.9924325595827228,0.8023613963039015,6.827994606270566,1.025945071868583,1.0094081893793985,1.0930805194805195,0.6892321298514894
425.0,0.6006505885878887,-0.5843863861338697,1.823036937246602,0.5055193969042401,1.7388173213402465,0.8014590932777488,7.083765112998828,1.3103678999478896,1.2836827048114434,1.4180892388451445,0.5522946848002368
426.0,1.5599714335514552,-1.5726294761462793,0.8273736292165118,0.41303179078227115,1.3681416767158552,0.88347022587269,6.436392487998609,0.6402227926078029,0.6351539802440441,0.6786519823788545,0.31275877453860695
427.0,0.9475912900690119,-1.2862357212981845,1.2813355150477255,0.42604226152159774,1.8175423334559018,0.854308093994778,6.646966704874424,0.8241566579634466,0.8090977995110025,0.9124587813620072,0.5970016889335208
