participant,v1,v2,a,ndt,alpha,accuracy_percentage,mean_log_rt,RT_mean_correct_error,mean_correct,mean_Crror,log_alpha_mean,error_array,RT_Cor_arr
736,1.1546796373398698,-1.1780757299451332,1.0938028697690807,0.44849504266383566,1.651515244678402,0.8411949685534591,6.6487690431101445,0.8040031446540881,0.8020598130841122,0.8142970297029704,0.500974965590431,"1415057    0.896
1415064    0.756
1415080    1.117
1415093    0.467
1415116    0.870
           ...  
1416951    0.912
1416952    0.660
1416954    0.545
1416956    0.528
1416961    0.490
Name: rt, Length: 303, dtype: float64","1415056    0.808
1415058    0.670
1415059    0.700
1415060    0.887
1415061    0.674
           ...  
1416958    0.678
1416959    0.563
1416960    0.496
1416962    0.554
1416963    0.616
Name: rt, Length: 1605, dtype: float64"
737,1.6053593095421952,-1.0900237383052458,1.127437070747905,0.3642980659316738,1.4935243394670292,0.8574380165289256,6.545685256083194,0.7261952479338841,0.7267487951807229,0.7228659420289855,0.40052637180577905,"1416968    0.513
1416986    0.888
1416987    0.600
1416990    0.519
1417000    0.617
           ...  
1418831    0.665
1418832    0.551
1418864    0.641
1418884    0.629
1418896    0.680
Name: rt, Length: 276, dtype: float64","1416964    0.870
1416965    0.612
1416966    0.532
1416967    0.622
1416969    0.597
           ...  
1418894    1.454
1418895    0.671
1418897    1.012
1418898    0.707
1418899    0.645
Name: rt, Length: 1660, dtype: float64"
738,1.7677685156233016,-1.4707319312060114,1.196493058648887,0.4369884336387671,1.6246568144750602,0.9018789144050104,6.610637924618557,0.7716028183716076,0.7678396990740741,0.8061914893617023,0.4848779882805544,"1418915    0.670
1418917    0.466
1418920    0.629
1418921    1.074
1418924    0.662
           ...  
1420772    0.936
1420776    0.691
1420784    1.012
1420790    0.804
1420804    1.018
Name: rt, Length: 188, dtype: float64","1418900    0.936
1418901    1.034
1418902    0.588
1418903    0.668
1418904    1.132
           ...  
1420811    0.772
1420812    0.969
1420813    0.822
1420814    0.656
1420815    1.245
Name: rt, Length: 1728, dtype: float64"
739,1.1974804112923192,-0.9666178284596056,1.0540632497895523,0.20371054201542946,1.0482525066980084,0.7392653905845835,6.37925649732818,0.5956782203828246,0.6144982505248425,0.5423174603174603,0.04683415380512543,"1420817    0.273
1420819    0.327
1420821    0.374
1420823    0.269
1420828    0.349
           ...  
1422726    0.465
1422729    0.779
1422735    0.632
1422737    0.477
1422739    0.602
Name: rt, Length: 504, dtype: float64","1420816    0.364
1420818    0.305
1420820    0.306
1420822    0.251
1420824    0.249
           ...  
1422744    0.514
1422745    0.537
1422746    0.483
1422747    0.437
1422748    0.516
Name: rt, Length: 1429, dtype: float64"
740,0.9764944420137704,-0.5695054658142725,1.2728478692418588,0.19875633411918428,1.0659234466205036,0.7269643866591294,6.596816579273384,0.7810650084793669,0.8027659409020218,0.7232857142857142,0.06330755285079158,"1422755    0.576
1422760    0.967
1422763    0.877
1422765    0.751
1422769    0.486
           ...  
1424510    0.240
1424513    0.257
1424514    0.258
1424515    0.223
1424516    0.236
Name: rt, Length: 483, dtype: float64","1422749    0.629
1422750    0.603
1422751    0.716
1422752    0.782
1422753    0.987
           ...  
1424506    0.465
1424509    0.233
1424511    0.643
1424512    0.254
1424517    0.203
Name: rt, Length: 1286, dtype: float64"
741,1.5638968947945382,-1.4088567771581304,1.5572626863327939,0.3601744209864565,1.9679419470390356,0.9252536038441004,6.641573819999232,0.8280032034169781,0.8293848817080208,0.8109000000000001,0.6769143673408298,"1424555    1.237
1424568    0.933
1424602    1.529
1424609    2.000
1424629    1.981
           ...  
1426268    1.034
1426280    1.100
1426302    0.768
1426336    0.585
1426347    0.628
Name: rt, Length: 140, dtype: float64","1424518    0.860
1424519    1.802
1424520    1.361
1424521    0.907
1424522    0.954
           ...  
1426386    0.530
1426387    0.458
1426388    0.539
1426389    0.490
1426390    0.509
Name: rt, Length: 1733, dtype: float64"
742,2.0558215388385572,-1.7975970477964383,0.5934989187958905,0.375233922510568,1.2252617336523723,0.8915849251419721,6.2544321606172035,0.5254599896747548,0.5250793283149972,0.5285904761904762,0.20254864394526306,"1426397    0.482
1426404    0.364
1426407    0.492
1426409    0.575
1426416    0.498
           ...  
1428285    0.531
1428311    0.453
1428312    0.444
1428314    0.528
1428327    0.501
Name: rt, Length: 210, dtype: float64","1426391    0.605
1426392    0.546
1426393    0.529
1426394    0.526
1426395    0.523
           ...  
1428322    0.440
1428323    0.487
1428324    0.559
1428325    0.514
1428326    0.493
Name: rt, Length: 1727, dtype: float64"
743,1.6015232851315988,-1.4161461848198578,1.1554490417988006,0.4395341884811248,1.514305965810526,0.8873239436619719,6.624962846320452,0.7808925404277517,0.7768736037624926,0.8125416666666667,0.4144200141095427,"1428338    0.836
1428352    1.028
1428382    0.606
1428395    0.532
1428417    1.062
           ...  
1430196    0.626
1430200    0.506
1430201    1.085
1430210    0.690
1430242    0.598
Name: rt, Length: 216, dtype: float64","1428328    0.587
1428329    0.813
1428330    0.646
1428331    0.634
1428332    0.641
           ...  
1430239    0.583
1430240    0.516
1430241    0.669
1430243    0.536
1430244    1.002
Name: rt, Length: 1701, dtype: float64"
744,1.3111266569477225,-0.8394771853120016,1.103656258739681,0.4268149320208047,1.556645184251101,0.8051546391752578,6.642528832826867,0.8068159793814432,0.7919647887323944,0.8681851851851852,0.441907436534338,"1430245    0.616
1430262    0.554
1430263    0.568
1430264    0.730
1430268    0.536
           ...  
1432164    1.046
1432166    0.850
1432176    0.493
1432179    1.276
1432180    0.653
Name: rt, Length: 378, dtype: float64","1430246    0.548
1430247    0.622
1430248    0.470
1430249    0.532
1430250    0.740
           ...  
1432178    0.591
1432181    0.722
1432182    1.011
1432183    0.613
1432184    0.656
Name: rt, Length: 1562, dtype: float64"
745,1.9214519555789549,-1.3697491933693349,1.2139353871448857,0.4604822307920049,1.2319185982853604,0.8912820512820513,6.667920666413464,0.8086364102564102,0.8038624856156502,0.8477735849056605,0.20782356213650602,"1432191    0.860
1432194    1.067
1432200    0.584
1432222    0.496
1432225    0.752
           ...  
1434082    0.801
1434085    0.999
1434109    0.894
1434118    0.661
1434128    0.839
Name: rt, Length: 212, dtype: float64","1432185    0.823
1432186    0.721
1432187    0.777
1432188    1.232
1432189    0.658
           ...  
1434130    0.551
1434131    0.687
1434132    0.916
1434133    0.530
1434134    0.634
Name: rt, Length: 1738, dtype: float64"
